Date,Open,High,Low,Close,Volume,AdjustedClose
20240130,5525.000,5650.000,5475.000,5625.000,150287800,5625.000
20240131,5725.000,5775.000,5675.000,5700.000,245117200,5700.000
20240201,5775.000,5800.000,5725.000,5750.000,156634200,5750.000
20240202,5800.000,5850.000,5750.000,5850.000,177209700,5850.000
20240205,5800.000,5825.000,5750.000,5775.000,113760000,5775.000
20240206,5900.000,5900.000,5800.000,5825.000,126704300,5825.000
20240207,5850.000,5900.000,5825.000,5850.000,147571500,5850.000
20240212,5875.000,6025.000,5850.000,6025.000,200856200,6025.000
20240213,6050.000,6050.000,5950.000,6000.000,145852200,6000.000
20240215,6275.000,6275.000,6100.000,6125.000,308685100,6125.000
20240216,6150.000,6200.000,6125.000,6150.000,130814400,6150.000
20240219,6125.000,6175.000,6075.000,6100.000,111382900,6100.000
20240220,6175.000,6300.000,6175.000,6300.000,160872600,6300.000
20240221,6325.000,6375.000,6225.000,6300.000,169293100,6300.000
20240222,6250.000,6300.000,6225.000,6250.000,100256000,6250.000
20240223,6125.000,6175.000,6050.000,6125.000,148643000,6125.000
20240226,6100.000,6200.000,6075.000,6175.000,110509000,6175.000
20240227,6125.000,6200.000,6125.000,6125.000,99187500,6125.000
20240228,6100.000,6225.000,6100.000,6225.000,118745300,6225.000
20240229,6150.000,6200.000,6125.000,6125.000,173845800,6125.000
20240301,6175.000,6175.000,6075.000,6125.000,76286400,6125.000
20240304,6125.000,6125.000,6050.000,6050.000,70354900,6050.000
20240305,6100.000,6175.000,6075.000,6125.000,115084600,6125.000
20240306,6100.000,6200.000,6100.000,6200.000,84108800,6200.000
20240307,6200.000,6275.000,6200.000,6225.000,117724700,6225.000
20240308,6275.000,6400.000,6250.000,6350.000,163060000,6350.000
20240313,6350.000,6450.000,6350.000,6400.000,195173100,6400.000
20240314,6175.000,6200.000,6050.000,6150.000,271254000,6150.000
20240315,6000.000,6075.000,5950.000,5975.000,305995800,5975.000
20240318,6000.000,6100.000,5975.000,6000.000,110564700,6000.000
20240319,6000.000,6050.000,5975.000,6000.000,114338600,6000.000
20240320,6000.000,6100.000,6000.000,6100.000,120885400,6100.000
20240321,6175.000,6200.000,6100.000,6100.000,136020000,6100.000
20240322,6050.000,6125.000,6050.000,6125.000,74936500,6125.000
20240325,6150.000,6250.000,6125.000,6250.000,115729600,6250.000
20240326,6200.000,6300.000,6200.000,6300.000,120748400,6300.000
20240327,6300.000,6325.000,6225.000,6250.000,73308900,6250.000
20240328,6100.000,6200.000,6025.000,6050.000,288926900,6050.000
20240401,6000.000,6025.000,5825.000,5925.000,217200400,5925.000
20240402,5850.000,5950.000,5625.000,5675.000,412180900,5675.000
20240403,5575.000,5675.000,5525.000,5625.000,333518700,5625.000
20240404,5650.000,5750.000,5650.000,5700.000,133406600,5700.000
20240405,5625.000,5700.000,5625.000,5650.000,178817800,5650.000
20240416,5375.000,5575.000,5350.000,5350.000,600717500,5350.000
20240417,5475.000,5500.000,5300.000,5300.000,244002000,5300.000
20240418,5300.000,5500.000,5300.000,5475.000,247410700,5475.000
20240419,5350.000,5375.000,5250.000,5275.000,258211500,5275.000
20240422,5200.000,5325.000,5150.000,5300.000,342282800,5300.000
20240423,5350.000,5400.000,5225.000,5300.000,283676400,5300.000
20240424,5250.000,5350.000,5150.000,5225.000,471241400,5225.000
20240425,5125.000,5200.000,5050.000,5150.000,479170900,5150.000
20240426,5050.000,5100.000,4830.000,4830.000,782589900,4830.000
20240429,4700.000,4890.000,4680.000,4770.000,700644800,4770.000
20240430,4850.000,5050.000,4820.000,4940.000,565609200,4940.000
20240502,4910.000,4920.000,4700.000,4760.000,636922100,4760.000
20240503,4760.000,4830.000,4710.000,4750.000,322179100,4750.000
20240506,4800.000,4840.000,4730.000,4790.000,262707400,4790.000
20240507,4770.000,4780.000,4670.000,4670.000,304013600,4670.000
20240508,4650.000,4740.000,4570.000,4680.000,572275800,4680.000
20240513,4650.000,4700.000,4630.000,4680.000,320067100,4680.000
20240514,4720.000,4810.000,4700.000,4730.000,341458900,4730.000
20240515,4780.000,4870.000,4760.000,4820.000,298990300,4820.000
20240516,4930.000,4960.000,4840.000,4840.000,371295000,4840.000
20240517,4840.000,4960.000,4820.000,4920.000,208991800,4920.000
